red,yellow,green,%_responder,score
0,10,1,0.11,0.19
0,11,1,0.12,0.21
0,12,1,0.13,0.23
0,13,1,0.14,0.25
0,14,1,0.15,0.27
0,15,1,0.16,0.29
0,16,1,0.17,0.31
0,17,1,0.18,0.33
0,18,1,0.19,0.35000000000000003
0,19,1,0.2,0.37
0,20,1,0.21,0.39
0,21,1,0.22,0.41000000000000003
0,22,1,0.23,0.43
0,23,1,0.24,0.45
0,24,1,0.25,0.47000000000000003
0,25,1,0.26,0.49
0,26,1,0.27,0.51
0,27,1,0.28,0.53
0,28,1,0.29,0.55
0,29,1,0.3,0.5700000000000001
0,30,1,0.31,0.59
0,31,1,0.32,0.61
0,32,1,0.33,0.63
0,33,1,0.34,0.65
0,34,1,0.35,0.67
0,35,1,0.36,0.6900000000000001
0,36,1,0.37,0.71
0,37,1,0.38,0.73
0,38,1,0.39,0.75
0,39,1,0.4,0.77
0,40,1,0.41,0.79
0,41,1,0.42,0.81
0,42,1,0.43,0.8300000000000001
0,43,1,0.44,0.85
0,44,1,0.45,0.87
0,45,1,0.46,0.89
0,46,1,0.47,0.91
0,47,1,0.48,0.93
0,48,1,0.49,0.9500000000000001
0,49,1,0.5,0.97
0,50,1,0.51,0.99
0,51,1,0.52,1.01
0,52,1,0.53,1.03
0,53,1,0.54,1.05
0,54,1,0.55,1.07
0,55,1,0.56,1.09
0,56,1,0.57,1.11
0,57,1,0.58,1.1300000000000001
0,58,1,0.59,1.1500000000000001
0,59,1,0.6,1.17
0,60,1,0.61,1.19
0,61,1,0.62,1.21
0,62,1,0.63,1.23
0,63,1,0.64,1.25
0,64,1,0.65,1.27
0,65,1,0.66,1.29
0,66,1,0.67,1.31
0,67,1,0.68,1.33
0,68,1,0.69,1.35
0,69,1,0.7,1.37
0,70,1,0.71,1.3900000000000001
0,71,1,0.72,1.41
0,72,1,0.73,1.43
0,73,1,0.74,1.45
0,74,1,0.75,1.47
0,75,1,0.76,1.49
0,76,1,0.77,1.51
0,77,1,0.78,1.53
0,78,1,0.79,1.55
0,79,1,0.8,1.57
0,80,1,0.81,1.59
0,81,1,0.82,1.61
0,82,1,0.83,1.6300000000000001
0,83,1,0.84,1.6500000000000001
0,84,1,0.85,1.67
0,85,1,0.86,1.69
0,86,1,0.87,1.71
0,87,1,0.88,1.73
0,88,1,0.89,1.75
0,89,1,0.9,1.77
0,90,1,0.91,1.79
0,91,1,0.92,1.81
0,92,1,0.93,1.83
0,93,1,0.94,1.85
0,94,1,0.95,1.87
0,95,1,0.96,1.8900000000000001
0,96,1,0.97,1.9100000000000001
0,97,1,0.98,1.93
0,98,1,0.99,1.95
0,99,1,1.0,1.97
0,0,2,0.02,-0.02
0,1,2,0.03,0.0
0,2,2,0.04,0.02
0,3,2,0.05,0.04
0,4,2,0.06,0.06
0,5,2,0.07,0.08
0,6,2,0.08,0.1
0,7,2,0.09,0.12
0,8,2,0.1,0.14
0,9,2,0.11,0.16
0,10,2,0.12,0.18
0,11,2,0.13,0.2
0,12,2,0.14,0.22
0,13,2,0.15,0.24
0,14,2,0.16,0.26
0,15,2,0.17,0.28
0,16,2,0.18,0.3
0,17,2,0.19,0.32
0,18,2,0.2,0.34
0,19,2,0.21,0.36
0,20,2,0.22,0.38
0,21,2,0.23,0.4
0,22,2,0.24,0.42
0,23,2,0.25,0.44
0,24,2,0.26,0.46
0,25,2,0.27,0.48
0,26,2,0.28,0.5
0,27,2,0.29,0.52
0,28,2,0.3,0.54
0,29,2,0.31,0.56
0,30,2,0.32,0.58
0,31,2,0.33,0.6
0,32,2,0.34,0.62
0,33,2,0.35,0.64
0,34,2,0.36,0.66
0,35,2,0.37,0.68
0,36,2,0.38,0.7000000000000001
0,37,2,0.39,0.72
0,38,2,0.4,0.74
0,39,2,0.41,0.76
0,40,2,0.42,0.78
0,41,2,0.43,0.8
0,42,2,0.44,0.8200000000000001
0,43,2,0.45,0.84
0,44,2,0.46,0.86
0,45,2,0.47,0.88
0,46,2,0.48,0.9
0,47,2,0.49,0.92
0,48,2,0.5,0.9400000000000001
0,49,2,0.51,0.96
0,50,2,0.52,0.98
0,51,2,0.53,1.0
0,52,2,0.54,1.02
0,53,2,0.55,1.04
0,54,2,0.56,1.06
0,55,2,0.57,1.08
0,56,2,0.58,1.1
0,57,2,0.59,1.12
0,58,2,0.6,1.1400000000000001
0,59,2,0.61,1.16
0,60,2,0.62,1.18
0,61,2,0.63,1.2
0,62,2,0.64,1.22
0,63,2,0.65,1.24
0,64,2,0.66,1.26
0,65,2,0.67,1.28
0,66,2,0.68,1.3
0,67,2,0.69,1.32
0,68,2,0.7,1.34
0,69,2,0.71,1.36
0,70,2,0.72,1.3800000000000001
0,71,2,0.73,1.4000000000000001
0,72,2,0.74,1.42
0,73,2,0.75,1.44
0,74,2,0.76,1.46
0,75,2,0.77,1.48
0,76,2,0.78,1.5
0,77,2,0.79,1.52
0,78,2,0.8,1.54
0,79,2,0.81,1.56
0,80,2,0.82,1.58
0,81,2,0.83,1.6
0,82,2,0.84,1.62
0,83,2,0.85,1.6400000000000001
0,84,2,0.86,1.6600000000000001
0,85,2,0.87,1.68
0,86,2,0.88,1.7
0,87,2,0.89,1.72
0,88,2,0.9,1.74
0,89,2,0.91,1.76
0,90,2,0.92,1.78
0,91,2,0.93,1.8
0,92,2,0.94,1.82
0,93,2,0.95,1.84
0,94,2,0.96,1.86
0,95,2,0.97,1.8800000000000001
0,96,2,0.98,1.9000000000000001
0,97,2,0.99,1.92
0,98,2,1.0,1.94
0,0,3,0.03,-0.03
0,1,3,0.04,-0.01
0,2,3,0.05,0.01
0,3,3,0.06,0.03
0,4,3,0.07,0.05
0,5,3,0.08,0.07
0,6,3,0.09,0.09
0,7,3,0.1,0.11
0,8,3,0.11,0.13
0,9,3,0.12,0.15
0,10,3,0.13,0.17
0,11,3,0.14,0.19
0,12,3,0.15,0.21
0,13,3,0.16,0.23
0,14,3,0.17,0.25
0,15,3,0.18,0.27
0,16,3,0.19,0.29
0,17,3,0.2,0.31
0,18,3,0.21,0.33
0,19,3,0.22,0.35000000000000003
0,20,3,0.23,0.37
0,21,3,0.24,0.39
0,22,3,0.25,0.41000000000000003
0,23,3,0.26,0.43
0,24,3,0.27,0.45
0,25,3,0.28,0.47000000000000003
0,26,3,0.29,0.49
0,27,3,0.3,0.51
0,28,3,0.31,0.53
0,29,3,0.32,0.55
0,30,3,0.33,0.5700000000000001
0,31,3,0.34,0.59
0,32,3,0.35,0.61
0,33,3,0.36,0.63
0,34,3,0.37,0.65
0,35,3,0.38,0.67
0,36,3,0.39,0.6900000000000001
0,37,3,0.4,0.71
0,38,3,0.41,0.73
0,39,3,0.42,0.75
0,40,3,0.43,0.77
0,41,3,0.44,0.79
0,42,3,0.45,0.81
0,43,3,0.46,0.8300000000000001
0,44,3,0.47,0.85
0,45,3,0.48,0.87
0,46,3,0.49,0.89
0,47,3,0.5,0.91
0,48,3,0.51,0.93
0,49,3,0.52,0.9500000000000001
0,50,3,0.53,0.97
0,51,3,0.54,0.99
0,52,3,0.55,1.01
0,53,3,0.56,1.03
0,54,3,0.57,1.05
0,55,3,0.58,1.07
0,56,3,0.59,1.09
0,57,3,0.6,1.11
0,58,3,0.61,1.1300000000000001
0,59,3,0.62,1.1500000000000001
0,60,3,0.63,1.17
0,61,3,0.64,1.19
0,62,3,0.65,1.21
0,63,3,0.66,1.23
0,64,3,0.67,1.25
0,65,3,0.68,1.27
0,66,3,0.69,1.29
0,67,3,0.7,1.31
0,68,3,0.71,1.33
0,69,3,0.72,1.35
0,70,3,0.73,1.37
0,71,3,0.74,1.3900000000000001
0,72,3,0.75,1.41
0,73,3,0.76,1.43
0,74,3,0.77,1.45
0,75,3,0.78,1.47
0,76,3,0.79,1.49
0,77,3,0.8,1.51
0,78,3,0.81,1.53
0,79,3,0.82,1.55
0,80,3,0.83,1.57
0,81,3,0.84,1.59
0,82,3,0.85,1.61
0,83,3,0.86,1.6300000000000001
0,84,3,0.87,1.6500000000000001
0,85,3,0.88,1.67
0,86,3,0.89,1.69
0,87,3,0.9,1.71
0,88,3,0.91,1.73
0,89,3,0.92,1.75
0,90,3,0.93,1.77
0,91,3,0.94,1.79
0,92,3,0.95,1.81
0,93,3,0.96,1.83
0,94,3,0.97,1.85
0,95,3,0.98,1.87
0,96,3,0.99,1.8900000000000001
0,97,3,1.0,1.9100000000000001
0,0,4,0.04,-0.04
0,1,4,0.05,-0.02
0,2,4,0.06,0.0
0,3,4,0.07,0.02
0,4,4,0.08,0.04
0,5,4,0.09,0.06
0,6,4,0.1,0.08
0,7,4,0.11,0.1
0,8,4,0.12,0.12
0,9,4,0.13,0.14
0,10,4,0.14,0.16
0,11,4,0.15,0.18
0,12,4,0.16,0.2
0,13,4,0.17,0.22
0,14,4,0.18,0.24
0,15,4,0.19,0.26
0,16,4,0.2,0.28
0,17,4,0.21,0.3
0,18,4,0.22,0.32
0,19,4,0.23,0.34
0,20,4,0.24,0.36
0,21,4,0.25,0.38
0,22,4,0.26,0.4
0,23,4,0.27,0.42
0,24,4,0.28,0.44
0,25,4,0.29,0.46
0,26,4,0.3,0.48
0,27,4,0.31,0.5
0,28,4,0.32,0.52
0,29,4,0.33,0.54
0,30,4,0.34,0.56
0,31,4,0.35,0.58
0,32,4,0.36,0.6
0,33,4,0.37,0.62
0,34,4,0.38,0.64
0,35,4,0.39,0.66
0,36,4,0.4,0.68
0,37,4,0.41,0.7000000000000001
0,38,4,0.42,0.72
0,39,4,0.43,0.74
0,40,4,0.44,0.76
0,41,4,0.45,0.78
0,42,4,0.46,0.8
0,43,4,0.47,0.8200000000000001
0,44,4,0.48,0.84
0,45,4,0.49,0.86
0,46,4,0.5,0.88
0,47,4,0.51,0.9
0,48,4,0.52,0.92
0,49,4,0.53,0.9400000000000001
0,50,4,0.54,0.96
0,51,4,0.55,0.98
0,52,4,0.56,1.0
0,53,4,0.57,1.02
0,54,4,0.58,1.04
0,55,4,0.59,1.06
0,56,4,0.6,1.08
0,57,4,0.61,1.1
0,58,4,0.62,1.12
0,59,4,0.63,1.1400000000000001
0,60,4,0.64,1.16
0,61,4,0.65,1.18
0,62,4,0.66,1.2
0,63,4,0.67,1.22
0,64,4,0.68,1.24
0,65,4,0.69,1.26
0,66,4,0.7,1.28
0,67,4,0.71,1.3
0,68,4,0.72,1.32
0,69,4,0.73,1.34
0,70,4,0.74,1.36
0,71,4,0.75,1.3800000000000001
0,72,4,0.76,1.4000000000000001
0,73,4,0.77,1.42
0,74,4,0.78,1.44
0,75,4,0.79,1.46
0,76,4,0.8,1.48
0,77,4,0.81,1.5
0,78,4,0.82,1.52
0,79,4,0.83,1.54
0,80,4,0.84,1.56
0,81,4,0.85,1.58
0,82,4,0.86,1.6
0,83,4,0.87,1.62
0,84,4,0.88,1.6400000000000001
0,85,4,0.89,1.6600000000000001
0,86,4,0.9,1.68
0,87,4,0.91,1.7
0,88,4,0.92,1.72
0,89,4,0.93,1.74
0,90,4,0.94,1.76
0,91,4,0.95,1.78
0,92,4,0.96,1.8
0,93,4,0.97,1.82
0,94,4,0.98,1.84
0,95,4,0.99,1.86
0,96,4,1.0,1.8800000000000001
0,0,5,0.05,-0.05
0,1,5,0.06,-0.03
0,2,5,0.07,-0.01
0,3,5,0.08,0.01
0,4,5,0.09,0.03
0,5,5,0.1,0.05
0,6,5,0.11,0.07
0,7,5,0.12,0.09
0,8,5,0.13,0.11
0,9,5,0.14,0.13
0,10,5,0.15,0.15
0,11,5,0.16,0.17
0,12,5,0.17,0.19
0,13,5,0.18,0.21
0,14,5,0.19,0.23
0,15,5,0.2,0.25
0,16,5,0.21,0.27
0,17,5,0.22,0.29
0,18,5,0.23,0.31
0,19,5,0.24,0.33
0,20,5,0.25,0.35000000000000003
0,21,5,0.26,0.37
0,22,5,0.27,0.39
0,23,5,0.28,0.41000000000000003
0,24,5,0.29,0.43
0,25,5,0.3,0.45
0,26,5,0.31,0.47000000000000003
0,27,5,0.32,0.49
0,28,5,0.33,0.51
0,29,5,0.34,0.53
0,30,5,0.35,0.55
0,31,5,0.36,0.5700000000000001
0,32,5,0.37,0.59
0,33,5,0.38,0.61
0,34,5,0.39,0.63
0,35,5,0.4,0.65
0,36,5,0.41,0.67
0,37,5,0.42,0.6900000000000001
0,38,5,0.43,0.71
0,39,5,0.44,0.73
0,40,5,0.45,0.75
0,41,5,0.46,0.77
0,42,5,0.47,0.79
0,43,5,0.48,0.81
0,44,5,0.49,0.8300000000000001
0,45,5,0.5,0.85
0,46,5,0.51,0.87
0,47,5,0.52,0.89
0,48,5,0.53,0.91
0,49,5,0.54,0.93
0,50,5,0.55,0.9500000000000001
0,51,5,0.56,0.97
0,52,5,0.57,0.99
0,53,5,0.58,1.01
0,54,5,0.59,1.03
0,55,5,0.6,1.05
0,56,5,0.61,1.07
0,57,5,0.62,1.09
0,58,5,0.63,1.11
0,59,5,0.64,1.1300000000000001
0,60,5,0.65,1.1500000000000001
0,61,5,0.66,1.17
0,62,5,0.67,1.19
0,63,5,0.68,1.21
0,64,5,0.69,1.23
0,65,5,0.7,1.25
0,66,5,0.71,1.27
0,67,5,0.72,1.29
0,68,5,0.73,1.31
0,69,5,0.74,1.33
0,70,5,0.75,1.35
0,71,5,0.76,1.37
0,72,5,0.77,1.3900000000000001
0,73,5,0.78,1.41
0,74,5,0.79,1.43
0,75,5,0.8,1.45
0,76,5,0.81,1.47
0,77,5,0.82,1.49
0,78,5,0.83,1.51
0,79,5,0.84,1.53
0,80,5,0.85,1.55
0,81,5,0.86,1.57
0,82,5,0.87,1.59
0,83,5,0.88,1.61
0,84,5,0.89,1.6300000000000001
0,85,5,0.9,1.6500000000000001
0,86,5,0.91,1.67
0,87,5,0.92,1.69
0,88,5,0.93,1.71
0,89,5,0.94,1.73
0,90,5,0.95,1.75
0,91,5,0.96,1.77
0,92,5,0.97,1.79
0,93,5,0.98,1.81
0,94,5,0.99,1.83
0,95,5,1.0,1.85
0,0,6,0.06,-0.06
0,1,6,0.07,-0.04
0,2,6,0.08,-0.02
0,3,6,0.09,0.0
0,4,6,0.1,0.02
0,5,6,0.11,0.04
0,6,6,0.12,0.06
0,7,6,0.13,0.08
0,8,6,0.14,0.1
0,9,6,0.15,0.12
0,10,6,0.16,0.14
0,11,6,0.17,0.16
0,12,6,0.18,0.18
0,13,6,0.19,0.2
0,14,6,0.2,0.22
0,15,6,0.21,0.24
0,16,6,0.22,0.26
0,17,6,0.23,0.28
0,18,6,0.24,0.3
0,19,6,0.25,0.32
0,20,6,0.26,0.34
0,21,6,0.27,0.36
0,22,6,0.28,0.38
0,23,6,0.29,0.4
0,24,6,0.3,0.42
0,25,6,0.31,0.44
0,26,6,0.32,0.46
0,27,6,0.33,0.48
0,28,6,0.34,0.5
0,29,6,0.35,0.52
0,30,6,0.36,0.54
0,31,6,0.37,0.56
0,32,6,0.38,0.58
0,33,6,0.39,0.6
0,34,6,0.4,0.62
0,35,6,0.41,0.64
0,36,6,0.42,0.66
0,37,6,0.43,0.68
0,38,6,0.44,0.7000000000000001
0,39,6,0.45,0.72
0,40,6,0.46,0.74
0,41,6,0.47,0.76
0,42,6,0.48,0.78
0,43,6,0.49,0.8
0,44,6,0.5,0.8200000000000001
0,45,6,0.51,0.84
0,46,6,0.52,0.86
0,47,6,0.53,0.88
0,48,6,0.54,0.9
0,49,6,0.55,0.92
0,50,6,0.56,0.9400000000000001
0,51,6,0.57,0.96
0,52,6,0.58,0.98
0,53,6,0.59,1.0
0,54,6,0.6,1.02
0,55,6,0.61,1.04
0,56,6,0.62,1.06
0,57,6,0.63,1.08
0,58,6,0.64,1.1
0,59,6,0.65,1.12
0,60,6,0.66,1.1400000000000001
0,61,6,0.67,1.16
0,62,6,0.68,1.18
0,63,6,0.69,1.2
0,64,6,0.7,1.22
0,65,6,0.71,1.24
0,66,6,0.72,1.26
0,67,6,0.73,1.28
0,68,6,0.74,1.3
0,69,6,0.75,1.32
0,70,6,0.76,1.34
0,71,6,0.77,1.36
0,72,6,0.78,1.3800000000000001
0,73,6,0.79,1.4000000000000001
0,74,6,0.8,1.42
0,75,6,0.81,1.44
0,76,6,0.82,1.46
0,77,6,0.83,1.48
0,78,6,0.84,1.5
0,79,6,0.85,1.52
0,80,6,0.86,1.54
0,81,6,0.87,1.56
0,82,6,0.88,1.58
0,83,6,0.89,1.6
0,84,6,0.9,1.62
0,85,6,0.91,1.6400000000000001
0,86,6,0.92,1.6600000000000001
0,87,6,0.93,1.68
0,88,6,0.94,1.7
0,89,6,0.95,1.72
0,90,6,0.96,1.74
0,91,6,0.97,1.76
0,92,6,0.98,1.78
0,93,6,0.99,1.8
0,94,6,1.0,1.82
0,0,7,0.07,-0.07
0,1,7,0.08,-0.05
0,2,7,0.09,-0.03
0,3,7,0.1,-0.01
0,4,7,0.11,0.01
0,5,7,0.12,0.03
0,6,7,0.13,0.05
0,7,7,0.14,0.07
0,8,7,0.15,0.09
0,9,7,0.16,0.11
0,10,7,0.17,0.13
0,11,7,0.18,0.15
0,12,7,0.19,0.17
0,13,7,0.2,0.19
0,14,7,0.21,0.21
0,15,7,0.22,0.23
0,16,7,0.23,0.25
0,17,7,0.24,0.27
0,18,7,0.25,0.29
0,19,7,0.26,0.31
0,20,7,0.27,0.33
0,21,7,0.28,0.35000000000000003
0,22,7,0.29,0.37
0,23,7,0.3,0.39
0,24,7,0.31,0.41000000000000003
0,25,7,0.32,0.43
0,26,7,0.33,0.45
0,27,7,0.34,0.47000000000000003
0,28,7,0.35,0.49
0,29,7,0.36,0.51
0,30,7,0.37,0.53
0,31,7,0.38,0.55
0,32,7,0.39,0.5700000000000001
0,33,7,0.4,0.59
0,34,7,0.41,0.61
0,35,7,0.42,0.63
0,36,7,0.43,0.65
0,37,7,0.44,0.67
0,38,7,0.45,0.6900000000000001
0,39,7,0.46,0.71
0,40,7,0.47,0.73
0,41,7,0.48,0.75
0,42,7,0.49,0.77
0,43,7,0.5,0.79
0,44,7,0.51,0.81
0,45,7,0.52,0.8300000000000001
0,46,7,0.53,0.85
0,47,7,0.54,0.87
0,48,7,0.55,0.89
0,49,7,0.56,0.91
0,50,7,0.57,0.93
0,51,7,0.58,0.9500000000000001
0,52,7,0.59,0.97
0,53,7,0.6,0.99
0,54,7,0.61,1.01
0,55,7,0.62,1.03
0,56,7,0.63,1.05
0,57,7,0.64,1.07
0,58,7,0.65,1.09
0,59,7,0.66,1.11
0,60,7,0.67,1.1300000000000001
0,61,7,0.68,1.1500000000000001
0,62,7,0.69,1.17
0,63,7,0.7,1.19
0,64,7,0.71,1.21
0,65,7,0.72,1.23
0,66,7,0.73,1.25
0,67,7,0.74,1.27
0,68,7,0.75,1.29
0,69,7,0.76,1.31
0,70,7,0.77,1.33
0,71,7,0.78,1.35
0,72,7,0.79,1.37
0,73,7,0.8,1.3900000000000001
0,74,7,0.81,1.41
0,75,7,0.82,1.43
0,76,7,0.83,1.45
0,77,7,0.84,1.47
0,78,7,0.85,1.49
0,79,7,0.86,1.51
0,80,7,0.87,1.53
0,81,7,0.88,1.55
0,82,7,0.89,1.57
0,83,7,0.9,1.59
0,84,7,0.91,1.61
0,85,7,0.92,1.6300000000000001
0,86,7,0.93,1.6500000000000001
0,87,7,0.94,1.67
0,88,7,0.95,1.69
0,89,7,0.96,1.71
0,90,7,0.97,1.73
0,91,7,0.98,1.75
0,92,7,0.99,1.77
0,93,7,1.0,1.79
0,0,8,0.08,-0.08
0,1,8,0.09,-0.06
0,2,8,0.1,-0.04
0,3,8,0.11,-0.02
0,4,8,0.12,0.0
0,5,8,0.13,0.02
0,6,8,0.14,0.04
0,7,8,0.15,0.06
0,8,8,0.16,0.08
0,9,8,0.17,0.1
0,10,8,0.18,0.12
0,11,8,0.19,0.14
0,12,8,0.2,0.16
0,13,8,0.21,0.18
0,14,8,0.22,0.2
0,15,8,0.23,0.22
0,16,8,0.24,0.24
0,17,8,0.25,0.26
0,18,8,0.26,0.28
0,19,8,0.27,0.3
0,20,8,0.28,0.32
0,21,8,0.29,0.34
0,22,8,0.3,0.36
0,23,8,0.31,0.38
0,24,8,0.32,0.4
0,25,8,0.33,0.42
0,26,8,0.34,0.44
0,27,8,0.35,0.46
0,28,8,0.36,0.48
0,29,8,0.37,0.5
0,30,8,0.38,0.52
0,31,8,0.39,0.54
0,32,8,0.4,0.56
0,33,8,0.41,0.58
0,34,8,0.42,0.6
0,35,8,0.43,0.62
0,36,8,0.44,0.64
0,37,8,0.45,0.66
0,38,8,0.46,0.68
0,39,8,0.47,0.7000000000000001
0,40,8,0.48,0.72
0,41,8,0.49,0.74
0,42,8,0.5,0.76
0,43,8,0.51,0.78
0,44,8,0.52,0.8
0,45,8,0.53,0.8200000000000001
0,46,8,0.54,0.84
0,47,8,0.55,0.86
0,48,8,0.56,0.88
0,49,8,0.57,0.9
0,50,8,0.58,0.92
0,51,8,0.59,0.9400000000000001
0,52,8,0.6,0.96
0,53,8,0.61,0.98
0,54,8,0.62,1.0
0,55,8,0.63,1.02
0,56,8,0.64,1.04
0,57,8,0.65,1.06
0,58,8,0.66,1.08
0,59,8,0.67,1.1
0,60,8,0.68,1.12
0,61,8,0.69,1.1400000000000001
0,62,8,0.7,1.16
0,63,8,0.71,1.18
0,64,8,0.72,1.2
0,65,8,0.73,1.22
0,66,8,0.74,1.24
0,67,8,0.75,1.26
0,68,8,0.76,1.28
0,69,8,0.77,1.3
0,70,8,0.78,1.32
0,71,8,0.79,1.34
0,72,8,0.8,1.36
0,73,8,0.81,1.3800000000000001
0,74,8,0.82,1.4000000000000001
0,75,8,0.83,1.42
0,76,8,0.84,1.44
0,77,8,0.85,1.46
0,78,8,0.86,1.48
0,79,8,0.87,1.5
0,80,8,0.88,1.52
0,81,8,0.89,1.54
0,82,8,0.9,1.56
0,83,8,0.91,1.58
0,84,8,0.92,1.6
0,85,8,0.93,1.62
0,86,8,0.94,1.6400000000000001
0,87,8,0.95,1.6600000000000001
0,88,8,0.96,1.68
0,89,8,0.97,1.7
0,90,8,0.98,1.72
0,91,8,0.99,1.74
0,92,8,1.0,1.76
0,0,9,0.09,-0.09
0,1,9,0.1,-0.07
0,2,9,0.11,-0.05
0,3,9,0.12,-0.03
0,4,9,0.13,-0.01
0,5,9,0.14,0.01
0,6,9,0.15,0.03
0,7,9,0.16,0.05
0,8,9,0.17,0.07
0,9,9,0.18,0.09
0,10,9,0.19,0.11
0,11,9,0.2,0.13
0,12,9,0.21,0.15
0,13,9,0.22,0.17
0,14,9,0.23,0.19
0,15,9,0.24,0.21
0,16,9,0.25,0.23
0,17,9,0.26,0.25
0,18,9,0.27,0.27
0,19,9,0.28,0.29
0,20,9,0.29,0.31
0,21,9,0.3,0.33
0,22,9,0.31,0.35000000000000003
0,23,9,0.32,0.37
0,24,9,0.33,0.39
0,25,9,0.34,0.41000000000000003
0,26,9,0.35,0.43
0,27,9,0.36,0.45
0,28,9,0.37,0.47000000000000003
0,29,9,0.38,0.49
0,30,9,0.39,0.51
0,31,9,0.4,0.53
0,32,9,0.41,0.55
0,33,9,0.42,0.5700000000000001
0,34,9,0.43,0.59
0,35,9,0.44,0.61
0,36,9,0.45,0.63
0,37,9,0.46,0.65
0,38,9,0.47,0.67
0,39,9,0.48,0.6900000000000001
0,40,9,0.49,0.71
0,41,9,0.5,0.73
0,42,9,0.51,0.75
0,43,9,0.52,0.77
0,44,9,0.53,0.79
0,45,9,0.54,0.81
0,46,9,0.55,0.8300000000000001
0,47,9,0.56,0.85
0,48,9,0.57,0.87
0,49,9,0.58,0.89
0,50,9,0.59,0.91
0,51,9,0.6,0.93
0,52,9,0.61,0.9500000000000001
0,53,9,0.62,0.97
0,54,9,0.63,0.99
0,55,9,0.64,1.01
0,56,9,0.65,1.03
0,57,9,0.66,1.05
0,58,9,0.67,1.07
0,59,9,0.68,1.09
0,60,9,0.69,1.11
0,61,9,0.7,1.1300000000000001
0,62,9,0.71,1.1500000000000001
0,63,9,0.72,1.17
0,64,9,0.73,1.19
0,65,9,0.74,1.21
0,66,9,0.75,1.23
0,67,9,0.76,1.25
0,68,9,0.77,1.27
0,69,9,0.78,1.29
0,70,9,0.79,1.31
0,71,9,0.8,1.33
0,72,9,0.81,1.35
0,73,9,0.82,1.37
0,74,9,0.83,1.3900000000000001
0,75,9,0.84,1.41
0,76,9,0.85,1.43
0,77,9,0.86,1.45
0,78,9,0.87,1.47
0,79,9,0.88,1.49
0,80,9,0.89,1.51
0,81,9,0.9,1.53
0,82,9,0.91,1.55
0,83,9,0.92,1.57
